category,title,url,content
国内,【速報】アパート火災で1人逃げ遅れか　東京・足立区(テレビ朝日系（ANN）),https://news.yahoo.co.jp/articles/bb166cf891109df7860eb57446618c8f519205ca?source=rss,"30日午前、東京・足立区のアパートで火事があり現在も消火活動が続いています。1人が逃げ遅れているとの情報もあります。

警視庁などによりますと午前8時半ごろ足立区西新井にある4階建てアパートで3階の1室から火がでました。

これまでに10平方メートルほどが焼けていて、ポンプ車など19台が出動し消火活動が続いています。

この火事で1人が逃げ遅れたとの情報もあり警視庁と東京消防庁が確認を急いでいます。

現場は東武鉄道・大師前駅からおよそ500メートル離れた場所です。"
国内,0歳女児　駐車場ではねられ死亡(テレビ朝日系（ANN）),https://news.yahoo.co.jp/articles/3042a69b1ca5aefbbeb541d18f6876d3c29aa94e?source=rss,"29日午前11時すぎ、宮崎市内にあるスーパーの駐車場で、バックしてきた乗用車が0歳の娘を抱いて歩いていた30代の母親をはねました。

　女の子は頭を強く打ち、病院に搬送されましたが、死亡が確認されました。母親も足にけがをしています。

　警察は、乗用車を運転していた黒木正人容疑者（72）を過失運転致傷の疑いで現行犯逮捕しました。
　
　黒木容疑者は「事故を起こし、けがをさせたことに間違いない」と容疑を認めています。
　
（「グッド！モーニング」2023年11月30日放送分より）"
国内,帰還困難区域の復興拠点、避難解除が完了(共同通信),https://news.yahoo.co.jp/articles/7d31fcaecec33d3e2e3d438876946c90ae68f9a5?source=rss,東京電力福島第1原発事故に伴う福島県富岡町の帰還困難区域で30日、復興拠点に指定されている集会所や共同墓地、一部の道路が避難解除された。県内6町村に設定された復興拠点の避難解除はこれで完了した。
国内,玉川徹氏、経費が増額する「大阪・関西万博」に見解…「国費を使ってやる意味って僕には理解できない」(スポーツ報知),https://news.yahoo.co.jp/articles/bddf5b506db56b3f4ec8a2de3d060b78dd12a690?source=rss,"テレビ朝日系「羽鳥慎一モーニングショー」（月～金曜・午前８時）は３０日、自見英子万博相が２７日の参院予算委員会で、２０２５年大阪・関西万博を巡り、２３５０億円に膨らんだ会場整備費とは別にパビリオン「日本館」の建設費用や途上国の出展支援などとして国の負担が約８３７億円に上ると明らかにしたことを報じた。万博費用は総額３１８７億円の計算となる。

　さらに立憲民主党の杉尾秀哉氏が２９日の参院予算委員会で「インフラ整備などを含めると総額１兆円近くになるという試算もある」と指摘。これに自見氏は万博の費用の全体像について「インフラ等についても万博関係の切り分けが可能か調整中。できるだけ早急に示すことができるよう、作業を加速したい」と述べた。

　コメンテーターで元テレビ朝日社員の玉川徹氏は経費が増加している万博について「万博って発展途上国がやるようなもんだろうなというイメージ持ってますね。日本もそうだったし、上海とかもそうだし」とし「成熟した国家、それも今の科学が進んだ社会において一か所にみんなが集まって何を見てっていう話じゃないと思うんです。それを国費を使ってやる意味って僕には理解できないです」と指摘していた。"
国内,女性刺され死亡「彼の部屋で殴られた」と警視庁に相談 世田谷区(ABEMA TIMES),https://news.yahoo.co.jp/articles/3401c8964e512082e598636bb433b3f9f174c30d?source=rss,"東京・世田谷区で24歳の女性が中国人の男に刃物で刺され死亡した事件で、女性が男とのトラブルを警視庁に相談していたことがわかりました。【映像】現場の様子中国籍の王雷容疑者（29）は29日の午前0時ごろ、世田谷区の小島七海さん（24）の胸などを刺した殺人未遂の疑いがもたれています。捜査関係者への取材で、小島さんが7月と8月の2回、「彼の部屋で殴られた」などと警視庁にトラブルを相談していたことがわかりました。

　警視庁はその都度王容疑者に「ストーカー規制法に抵触しますよ」などと警告を行い、王容疑者は「わかりました」と答えていたという事です。（ANNニュース）"
国内,再婚してすぐに夫と死別し、子どもを連れて各地を転々…平安時代の天才作家・清少納言の意外な老後(プレジデントオンライン),https://news.yahoo.co.jp/articles/03a4932d768f0332317cf73d321fb4b9503f7823?source=rss,"平安時代の作家、清少納言はどんな人物だったのか。歴史作家の河合敦さんは「漢籍や和歌の教養が深く、強気な彼女は貴族に重用されていた。だが、宮中の権力闘争に巻き込まれたことがきっかけで、華やかな宮廷生活から離れ執筆を始めた」という――。(第2回)【画像】土佐光起「紫式部図（部分）」※本稿は、河合敦『平安の文豪』(ポプラ新書)の一部を再編集したものです。

■清少納言にとってショックだった出来事

　さて、いよいよ宮中に入った清少納言だが、当初は宮廷生活に圧倒されて借りてきた猫のようにおとなしかった。

　「宮に初めて参りたる頃、ものの恥づかしきことの数知らず、涙も落ちぬべければ、夜々参りて、三尺の御几帳の後ろにさぶらふ」と『枕草子』にあるように、宮仕えを始めた頃、恥ずかしいことばかりで涙がこぼれそうなので、毎夜、定子の前に参上しても几帳の後ろに隠れていのだ。

　この時代、貴族の女性は人前で顔を見せるものではないとされ、几帳や扇子で隠しているのが常だった。だが、宮仕えをするからにはそういうわけにもいかず、定子をはじめ女房たちの前で顔をさらし、時には用事でやって来る定子の親族や男性貴族たちにも顔を見られてしまう。これは、清少納言にとってかなりショックだったようだ。

　とはいえ、自分で憧れて入った世界であった。まだ十分再婚ができる年齢だったし、独身だとしても実家や兄姉の世話になって生きる方法もあった。でも彼女は、自分の可能性というものを試してみたかったようなのだ。"
国内,「科学的」と自称しつつ、「気の緩み」を注意する…日本の医師が「医師以外をバカにする集団」になった根本原因(プレジデントオンライン),https://news.yahoo.co.jp/articles/4ab8c1f25910dbcc482d9fe60f1ac0c305880fa0?source=rss,"医療をめぐる話題では、SNSで医師を名乗るアカウントが「攻撃的な投稿」を繰り返し、炎上を招くことが多い。神戸学院大学の鈴木洋仁准教授は「特に、『医クラ』と呼ばれる医療関係者による過激な投稿が目立つ。この背景には、医療を特別視してきた日本社会の構造的な問題がある」という――。【画像】福岡県に緊急事態宣言が発令されたことを知らせる電光ボード■SNSで炎上を巻き起こす「医クラ」

　X(旧Twitter)では、いつも誰かが炎上している。

　なかでもネット上で「医クラ」(=医療クラスター)と呼ばれる、医師をはじめとする医療関係者は、たびたび燃料を投下している。

　その理由として挙げられるのが、新型コロナウイルス感染症である。この3年間は、彼らの独壇場だった。

　「マスクをしろ」「家にいろ」

　まるで神様であるかのように、人々に命令し、反論が来れば「素人」呼ばわりして、ねじふせてきた。

　しかし、その神通力は、もはや通用しないように見える。

■日本の医療制度の問題点

　11月17日、インターネットテレビABEMAの報道番組(*1)で、「『国民皆保険制度なくなってほしい』投稿が物議 日本人は延命治療し過ぎ？」というテーマの議論が行われた。この中で、制度アナリストの宇佐美典也氏は、日本の医療制度の問題点として、次の4点を指摘した。

　ひとつは「生活保護受給者の医療費がゼロなこと」、ふたつめには「有料老人ホームの隣に病院があり、それを訪問看護で処理して高い診療報酬を取るビジネスモデル」、3つめに「整骨院の保険適用」、4つめとして「延命治療」だという。

　この宇佐美氏の放送での発言をまとめたポスト(ツイート)(*2)が、議論を呼んでいる。

　というか、そのポストをもとに、「医クラ」の人たちが宇佐美氏に噛みついている、と書くほうが妥当だろう。

　なぜ「医クラ」は、いちいち、こうした発言に反応するのだろうか。

　もちろん、Xでは、いつも誰かが何かに反応している。

　最近では、イスラエル軍によるパレスチナ自治区ガザへの地上侵攻をめぐって、中東政治などの専門家の投稿が「燃え」ているから、とりたてて「医クラ」に限らないのかもしれない。

　しかし、この3年間、「医クラ」が、SNSをにぎわせ、人々に与えた影響の大きさは、計り知れない。新型コロナウイルス感染症をめぐる「医クラ」の発信は、決して無視できなかったからである。"
国内,超常識的な党綱領の中身…減税と愛国”百田尚樹総理”に高まる期待「日本保守党は増税メガネが壊した日本を救うのか」(みんかぶマガジン),https://news.yahoo.co.jp/articles/0092d757e27f6231f95af49d8021645770b8fa34?source=rss,"日本保守党が11月11日、大阪・梅田で初めてとなる「大阪街宣」を実施したところ、想定以上の人が集まったことは記憶に新しい。党首である百田尚樹氏の任期に支えられ、その党勢拡大は止まるところを知らない。

　元小池百合子都知事の秘書で、政界事情に詳しい作家の小倉健一氏は「日本人が抱く『愛国心のトラウマ』の解決を百田総理に求める声が大きくなってきている」というーー。"
国内,自見氏の資金団体、また不記載　鈴木総務相も、収支報告書(共同通信),https://news.yahoo.co.jp/articles/d29af48e14051302c22547a87615ce499212d518?source=rss,"自見英子地方創生担当相の資金管理団体「ひまわり会」が2022年、政治団体「大阪府医師政治連盟」から受けた寄付金50万円を政治資金収支報告書に記載していなかったことが30日、分かった。政治資金規正法違反の可能性がある。ひまわり会は22年参院選に際して、賃料収入計165万円を収支報告書に記載していなかったことが判明したばかり。不記載が相次ぎ発覚する事態となった。

　収支報告書などによると、大阪府医師政治連盟は22年5月、選挙対策費としてひまわり会に寄付金50万円を支出したが、ひまわり会側は収入に記載していなかった。自見氏の事務所は「事務的な誤りで記載が漏れていた。関係法令にのっとり、適切に対応していく」とした。自見氏は日本医師連盟の組織内候補。

　また、鈴木淳司総務相が代表を務める自民党愛知県第7選挙区支部も22年5月、党本部から受けた支部交付金計約43万円を収支報告書に記載していなかった。鈴木氏の事務所によると、同額を研修会の経費として支出したが、収支ともに記載していなかったという。"
国内,スイスポートジャパンと労組、残業に関する労組協定を締結へ　当面は航空機の運航に影響は出ないか(読売テレビ),https://news.yahoo.co.jp/articles/584c3dc78f5f8ad5b04392ba40635bde9a9679c8?source=rss,"関西空港などで航空機の誘導などを行うスイスポートジャパンの労働組合が、12月から残業しないと通告していた問題で、残業に関する労使協定が締結されることになりました。当面は、航空機の運航に影響は出ない見通しです。

　スイスポートジャパンは今月15日に通告を受けましたが、長時間労働の解消に向けて協議を続け、12月1日付けで、残業について労使で定める「36協定」を結ぶことに合意したということです。

　スイスポートジャパンは、「長時間労働を生み出さない受注体制の構築などにより再発防止に取り組んでまいります」としています。"
